phase,url,status,robots_directives,canonical,sitemap_included,indexable,issues
after,https://agents.kujolang.ai/404.html,404,"noindex,follow",,False,false,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/accessibility-auditor/,True,true,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,True,true,
after,https://agents.kujolang.ai/agents/analytics-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/analytics-analyst/,True,true,
after,https://agents.kujolang.ai/agents/backend-developer/,200,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,True,true,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/backlink-mention-analyst/,True,true,
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/cannibalization-analyst/,True,true,
after,https://agents.kujolang.ai/agents/chain-of-command/,200,"default index,follow",https://agents.kujolang.ai/agents/chain-of-command/,True,true,
after,https://agents.kujolang.ai/agents/chief-of-staff/,200,"default index,follow",https://agents.kujolang.ai/agents/chief-of-staff/,True,true,
after,https://agents.kujolang.ai/agents/code-reviewer/,200,"default index,follow",https://agents.kujolang.ai/agents/code-reviewer/,True,true,
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,True,true,
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,200,"default index,follow",https://agents.kujolang.ai/agents/content-accuracy-reviewer/,True,true,
after,https://agents.kujolang.ai/agents/content-decay-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/content-decay-analyst/,True,true,
after,https://agents.kujolang.ai/agents/content-gap-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/content-gap-analyst/,True,true,
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,200,"default index,follow",https://agents.kujolang.ai/agents/content-portfolio-manager/,True,true,
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/content-pruning-analyst/,True,true,
after,https://agents.kujolang.ai/agents/context-packager/,200,"default index,follow",https://agents.kujolang.ai/agents/context-packager/,True,true,
after,https://agents.kujolang.ai/agents/core-developer/,200,"default index,follow",https://agents.kujolang.ai/agents/core-developer/,True,true,
after,https://agents.kujolang.ai/agents/dependency-scanner/,200,"default index,follow",https://agents.kujolang.ai/agents/dependency-scanner/,True,true,
after,https://agents.kujolang.ai/agents/distribution-operator/,200,"default index,follow",https://agents.kujolang.ai/agents/distribution-operator/,True,true,
after,https://agents.kujolang.ai/agents/documentation-writer/,200,"default index,follow",https://agents.kujolang.ai/agents/documentation-writer/,True,true,
after,https://agents.kujolang.ai/agents/frontend-developer/,200,"default index,follow",https://agents.kujolang.ai/agents/frontend-developer/,True,true,
after,https://agents.kujolang.ai/agents/general-commander/,200,"default index,follow",https://agents.kujolang.ai/agents/general-commander/,True,true,
after,https://agents.kujolang.ai/agents/,200,"default index,follow",https://agents.kujolang.ai/agents/,True,true,
after,https://agents.kujolang.ai/agents/indexation-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/indexation-analyst/,True,true,
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/information-architecture-auditor/,True,true,
after,https://agents.kujolang.ai/agents/integration-engineer/,200,"default index,follow",https://agents.kujolang.ai/agents/integration-engineer/,True,true,
after,https://agents.kujolang.ai/agents/internal-link-specialist/,200,"default index,follow",https://agents.kujolang.ai/agents/internal-link-specialist/,True,true,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,200,"default index,follow",https://agents.kujolang.ai/agents/issue-hygiene-worker/,True,true,
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,True,true,
after,https://agents.kujolang.ai/agents/link-health-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/link-health-auditor/,True,true,
after,https://agents.kujolang.ai/agents/lint-runner/,200,"default index,follow",https://agents.kujolang.ai/agents/lint-runner/,True,true,
after,https://agents.kujolang.ai/agents/metadata-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/metadata-auditor/,True,true,
after,https://agents.kujolang.ai/agents/performance-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/performance-analyst/,True,true,
after,https://agents.kujolang.ai/agents/planner/,200,"default index,follow",https://agents.kujolang.ai/agents/planner/,True,true,
after,https://agents.kujolang.ai/agents/product-strategist/,200,"default index,follow",https://agents.kujolang.ai/agents/product-strategist/,True,true,
after,https://agents.kujolang.ai/agents/qa-lead/,200,"default index,follow",https://agents.kujolang.ai/agents/qa-lead/,True,true,
after,https://agents.kujolang.ai/agents/receipt-collector/,200,"default index,follow",https://agents.kujolang.ai/agents/receipt-collector/,True,true,
after,https://agents.kujolang.ai/agents/release-verifier/,200,"default index,follow",https://agents.kujolang.ai/agents/release-verifier/,True,true,
after,https://agents.kujolang.ai/agents/research-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/research-analyst/,True,true,
after,https://agents.kujolang.ai/agents/risk-officer/,200,"default index,follow",https://agents.kujolang.ai/agents/risk-officer/,True,true,
after,https://agents.kujolang.ai/agents/routine-worker/,200,"default index,follow",https://agents.kujolang.ai/agents/routine-worker/,True,true,
after,https://agents.kujolang.ai/agents/schema-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/schema-auditor/,True,true,
after,https://agents.kujolang.ai/agents/search-performance-analyst/,200,"default index,follow",https://agents.kujolang.ai/agents/search-performance-analyst/,True,true,
after,https://agents.kujolang.ai/agents/search-submission-operator/,200,"default index,follow",https://agents.kujolang.ai/agents/search-submission-operator/,True,true,
after,https://agents.kujolang.ai/agents/search-web-standards-watch/,200,"default index,follow",https://agents.kujolang.ai/agents/search-web-standards-watch/,True,true,
after,https://agents.kujolang.ai/agents/security-reviewer/,200,"default index,follow",https://agents.kujolang.ai/agents/security-reviewer/,True,true,
after,https://agents.kujolang.ai/agents/seo-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/seo-auditor/,True,true,
after,https://agents.kujolang.ai/agents/site-qa-operator/,200,"default index,follow",https://agents.kujolang.ai/agents/site-qa-operator/,True,true,
after,https://agents.kujolang.ai/agents/sitrep-agent/,200,"default index,follow",https://agents.kujolang.ai/agents/sitrep-agent/,True,true,
after,https://agents.kujolang.ai/agents/spec-writer/,200,"default index,follow",https://agents.kujolang.ai/agents/spec-writer/,True,true,
after,https://agents.kujolang.ai/agents/systems-architect/,200,"default index,follow",https://agents.kujolang.ai/agents/systems-architect/,True,true,
after,https://agents.kujolang.ai/agents/technical-seo-auditor/,200,"default index,follow",https://agents.kujolang.ai/agents/technical-seo-auditor/,True,true,
after,https://agents.kujolang.ai/agents/test-runner/,200,"default index,follow",https://agents.kujolang.ai/agents/test-runner/,True,true,
after,https://agents.kujolang.ai/agents/tooling-developer/,200,"default index,follow",https://agents.kujolang.ai/agents/tooling-developer/,True,true,
after,https://agents.kujolang.ai/agents/trend-scout/,200,"default index,follow",https://agents.kujolang.ai/agents/trend-scout/,True,true,
after,https://agents.kujolang.ai/agents/triage-agent/,200,"default index,follow",https://agents.kujolang.ai/agents/triage-agent/,True,true,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,200,"default index,follow",https://agents.kujolang.ai/agents/visual-qa-agent/,True,true,
after,https://agents.kujolang.ai/agents/webops/,200,"default index,follow",https://agents.kujolang.ai/agents/webops/,True,true,
after,https://agents.kujolang.ai/agents/webops-reporter/,200,"default index,follow",https://agents.kujolang.ai/agents/webops-reporter/,True,true,
after,https://agents.kujolang.ai/,200,"default index,follow",https://agents.kujolang.ai/,True,true,
