phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
after,https://agents.kujolang.ai/404.html,1,0,8,5,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/backend-developer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/chain-of-command/,1,68,37,5,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/chief-of-staff/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/code-reviewer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/context-packager/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/core-developer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/dependency-scanner/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/documentation-writer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/frontend-developer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/general-commander/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/,1,94,36,5,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/integration-engineer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/lint-runner/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/planner/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/product-strategist/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/qa-lead/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/receipt-collector/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/release-verifier/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/research-analyst/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/risk-officer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/routine-worker/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/security-reviewer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/sitrep-agent/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/spec-writer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/systems-architect/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/test-runner/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/tooling-developer/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/triage-agent/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,1,4,10,7,false,false,0,0,true,
after,https://agents.kujolang.ai/agents/webops/,1,68,9,5,false,false,0,0,true,
after,https://agents.kujolang.ai/,0,65,38,6,false,false,0,0,true,
