phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/,Kujo Agents,Kujo Agents,agent role selection,Kujo Agents,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agent-development-platform/,Kujo Agent Development Platform | Kujo Agents,Build Your Own Kujo Agent,agent role selection,Build Your Own Kujo Agent,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/accessibility-auditor/,Accessibility Auditor | Kujo WebOps | Kujo Agents,Accessibility Auditor,agent role selection,Accessibility Auditor,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,AI Search Visibility Analyst,agent role selection,AI Search Visibility Analyst,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/analytics-analyst/,Analytics Analyst | Kujo WebOps | Kujo Agents,Analytics Analyst,agent role selection,Analytics Analyst,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/art-director/,Art Director | Kujo Publishing House | Kujo Agents,Art Director,agent role selection,Art Director,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/audience-development-director/,Audience Development Director | Kujo Publishing House | Kujo Agents,Audience Development Director,agent role selection,Audience Development Director,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Chain of Command | Kujo Agents,Backend Developer,agent role selection,Backend Developer,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,Backlink & Mention Analyst,agent role selection,Backlink & Mention Analyst,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/brand-strategy-director/,Brand Strategy Director | Kujo Publishing House | Kujo Agents,Brand Strategy Director,agent role selection,Brand Strategy Director,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/campaign-copywriter/,Campaign Copywriter | Kujo Publishing House | Kujo Agents,Campaign Copywriter,agent role selection,Campaign Copywriter,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,Cannibalization Analyst | Kujo WebOps | Kujo Agents,Cannibalization Analyst,agent role selection,Cannibalization Analyst,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/case-study-editor/,Case Study Editor | Kujo Publishing House | Kujo Agents,Case Study Editor,agent role selection,Case Study Editor,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
after,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command Agents | Kujo Agents,Chain of Command,agent role selection,Chain of Command,,Kujo,"What does this page describe, how is it used, and what are its limits?",,Tribunal release coverage updated; broader gaps require real query data,"Treat this source-based topic map as an editorial hypothesis, not measured demand"
