phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://agents.kujolang.ai/404.html,templates/404.html,404,404,,false,"default index,follow",https://agents.kujolang.ai/,200,Page Not Found | Kujo Agents,28,Page not found,14,Agent not found,h1:Agent not found,44,en,,,Robert DeVore,False,WebSite;Organization,0,8,5,0,not fully probed,2,0,0,1,false,True,false,false,d95eb7ec99ed38890f8052608e8c40b823f7b8fef8edd6a5391ebeb2a20203ce,404 template lacks noindex
baseline,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,Backend Developer | Kujo Agents,31,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,303,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,c838f4c04bf3260094d46488b013e3370cf3e086a7660b1c2630bad089e53158,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/chain-of-command/,templates/page-agent-set.html,listing,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/chain-of-command/,200,Chain of Command Agents | Kujo Agents,37,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",98,Chain of Command,h1:Chain of Command,625,en,,,Robert DeVore,True,CollectionPage;Organization,68,37,5,0,not fully probed,30,0,28,1,false,True,false,false,bce4505b98c79aad62f558cbe0f862be1975ccd63e2d0228f6750c1c885d03ef,28 images missing dimensions
baseline,https://agents.kujolang.ai/agents/chief-of-staff/,content/agents/chief-of-staff.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/chief-of-staff/,200,Chief Of Staff | Kujo Agents,28,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",100,Chief Of Staff,h1:Chief Of Staff | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,360,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,e2b05644e0d04e07f01beffd2f8ae44c2d837514b67618f7ce971eea03cd8362,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/code-reviewer/,content/agents/code-reviewer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/code-reviewer/,200,Code Reviewer | Kujo Agents,27,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",110,Code Reviewer,h1:Code Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,309,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,1f7d19c17d2769b02669cfccd4d70a891aee6b96267f629ed1eee2ce7ca696fd,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/context-packager/,content/agents/context-packager.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/context-packager/,200,Context Packager | Kujo Agents,30,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",112,Context Packager,h1:Context Packager | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,367,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,d6f27259cae78a705e4cc6ebcb1d8a1c2ecea364972132b3dce2e2815b4d4ce0,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/core-developer/,content/agents/core-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/core-developer/,200,Core Developer | Kujo Agents,28,Implement bounded source changes and focused tests inside an assigned scope.,76,Core Developer,h1:Core Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,332,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,f4525455935ca94d4ea265131da049400b5c4a2cb540d1ebeaf0bd064f515071,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/dependency-scanner/,content/agents/dependency-scanner.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/dependency-scanner/,200,Dependency Scanner | Kujo Agents,32,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",80,Dependency Scanner,h1:Dependency Scanner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,259,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,d7f2ef109659bce7acbca46cff546adf897ddb077971bc7f0b19b4ab0184fe1d,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/documentation-writer/,content/agents/documentation-writer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/documentation-writer/,200,Documentation Writer | Kujo Agents,34,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",132,Documentation Writer,h1:Documentation Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,363,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,a046cab844b11ca5eff0875283fb8ec183e0e04ff8b064fb5ffbb578a884f6dc,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/frontend-developer/,content/agents/frontend-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/frontend-developer/,200,Frontend Developer | Kujo Agents,32,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",107,Frontend Developer,h1:Frontend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,365,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,cfeb437e8c99ecc218f2508317ac2c9314555599850387a735e575ff49ae4171,1 images missing dimensions
baseline,https://agents.kujolang.ai/agents/general-commander/,content/agents/general-commander.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/general-commander/,200,General Commander | Kujo Agents,31,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",133,General Commander,h1:General Commander | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,449,en,,,Kujo,True,ProfilePage;Organization,4,10,6,0,not fully probed,3,0,1,1,false,True,false,false,95de233b447ac003b4764caed67457fe37521f16252d2a06cc863ff657e73448,1 images missing dimensions
