phase,source_url,image_url,alt,width,height,loading,format,bytes,exists,issues
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/images/backend-developer-daca76a2cd95.webp,Featured image for Backend Developer,640,640,lazy,webp,15326,True,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,24,24,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/assets/images/kujo-logomark.svg,,28,28,eager/default,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/general-commander-b873a4f8d54c.webp,Agent image for General Commander,640,640,lazy,webp,25354,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/chief-of-staff-2e6f76b93f30.webp,Agent image for Chief Of Staff,640,640,lazy,webp,13286,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/systems-architect-87cc508a9cbe.webp,Agent image for Systems Architect,640,640,lazy,webp,26456,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/product-strategist-d1ec402a746c.webp,Agent image for Product Strategist,640,640,lazy,webp,12490,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/planner-e871338c4b36.webp,Agent image for Planner,640,640,lazy,webp,16788,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/spec-writer-b285befd1d57.webp,Agent image for Spec Writer,640,640,lazy,webp,24188,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/research-analyst-857221740bc4.webp,Agent image for Research Analyst,640,640,lazy,webp,16000,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/risk-officer-ebf348e4bd3d.webp,Agent image for Risk Officer,640,640,lazy,webp,19120,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/core-developer-422309ea814e.webp,Agent image for Core Developer,640,640,lazy,webp,17474,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/tooling-developer-5dfd9abd0490.webp,Agent image for Tooling Developer,640,640,lazy,webp,19076,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/frontend-developer-38b0ab2f6a78.webp,Agent image for Frontend Developer,640,640,lazy,webp,16882,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/backend-developer-daca76a2cd95.webp,Agent image for Backend Developer,640,640,lazy,webp,15326,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Integration Engineer,640,640,lazy,svg,895,True,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/images/kujo-logomark-af568480fc2c.svg,Agent image for Code Reviewer,640,640,lazy,svg,895,True,
