phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://agents.kujolang.ai/404.html,templates/404.html,404,404,,false,"noindex,follow",,,Page Not Found | Kujo Agents,28,Page not found,14,Agent not found,h1:Agent not found,62,en,,,Robert DeVore,False,,0,17,5,0,not fully probed,2,0,0,1,false,False,false,false,434d9dc78912f2c9a9f0fe815c7e7ac3b219109acce2a4b2930869be331fdd25,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,content/agents/accessibility-auditor.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/accessibility-auditor/,200,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,Accessibility Auditor,h1:Accessibility Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,599,en,,2026-08-11,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,be69edcca2b317b263f3b9fda2103e3ce323202d942fb8d6b5a2c9fc96256731,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,content/agents/ai-search-visibility-analyst.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,AI Search Visibility Analyst,h1:AI Search Visibility Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,602,en,,2026-08-11,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,be54e5e701381ec48d4eaf3363926dd8e30645e3c72fe0edb929a1b16867b3da,
after,https://agents.kujolang.ai/agents/analytics-analyst/,content/agents/analytics-analyst.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/analytics-analyst/,200,Analytics Analyst | Kujo WebOps | Kujo Agents,45,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,Analytics Analyst,h1:Analytics Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,610,en,,2026-08-11,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,8d6b334169ebe6a1c9f825fb8e01dd72dbcb2f0b89080182e264d1b4804cada4,
after,https://agents.kujolang.ai/agents/art-director/,content/agents/art-director.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/art-director/,200,Art Director | Kujo Publishing House | Kujo Agents,50,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",137,Art Director,h1:Art Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,533,en,,2026-08-14,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,2896390d4aea472cb4a7cd609112e7a05fe800057bbee05ff945af98cc34f111,
after,https://agents.kujolang.ai/agents/audience-development-director/,content/agents/audience-development-director.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/audience-development-director/,200,Audience Development Director | Kujo Publishing House | Kujo Agents,67,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",128,Audience Development Director,h1:Audience Development Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,523,en,,2026-08-14,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,4bd33349cc566451891f3b3d8dcd478eead67071170b62072e407a84446c2389,
after,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,Backend Developer | Kujo Chain of Command | Kujo Agents,55,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,335,en,,2026-07-05,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,fa2ff2631ff3a939c482cd8a05f36d5686a4d4d5f01e48170825005d2fa05d92,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,content/agents/backlink-mention-analyst.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,Backlink & Mention Analyst,h1:Backlink & Mention Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,600,en,,2026-08-11,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,41204af801a4cc643c380a66af448fa5b50c770c1efbc2baf89444d0a3480efa,
after,https://agents.kujolang.ai/agents/brand-strategy-director/,content/agents/brand-strategy-director.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/brand-strategy-director/,200,Brand Strategy Director | Kujo Publishing House | Kujo Agents,61,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",132,Brand Strategy Director,h1:Brand Strategy Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,529,en,,2026-08-14,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,c64ad964e588d5635acc1b0318288c94df91149cf5ef7b62d314ea42c9437df7,
after,https://agents.kujolang.ai/agents/campaign-copywriter/,content/agents/campaign-copywriter.md,agent,200,,true,"default index,follow",https://agents.kujolang.ai/agents/campaign-copywriter/,200,Campaign Copywriter | Kujo Publishing House | Kujo Agents,57,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",126,Campaign Copywriter,h1:Campaign Copywriter | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,542,en,,2026-08-14,Kujo,True,SoftwareSourceCode;WebPage;Organization;CollectionPage,4,19,7,0,not fully probed,3,0,0,1,false,True,false,false,eb4f2323a4a2dddf0239fddc686e9ee660e8661451318cb8418ef9220898a712,
