phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://agents.kujolang.ai/404.html,templates/404.html,404,404,,false,"noindex,follow",,,Page Not Found | Kujo Agents,28,Page not found,14,Agent not found,h1:Agent not found,44,en,,,Robert DeVore,False,,0,8,5,0,not fully probed,2,0,0,1,false,False,false,false,d95eb7ec99ed38890f8052608e8c40b823f7b8fef8edd6a5391ebeb2a20203ce,
baseline,https://agents.kujolang.ai/agents/accessibility-auditor/,content/agents/accessibility-auditor.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/accessibility-auditor/,200,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,Accessibility Auditor,h1:Accessibility Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,581,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,100b3b6d2c0f5cba02d40440d7826bdd1619a6b3752959c5b7486e551a6305ef,
baseline,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,content/agents/ai-search-visibility-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,AI Search Visibility Analyst,h1:AI Search Visibility Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,584,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,5149de901be1abb780c356f9dbac0ee09db6b5d79e53a2a167a2460a82878a15,
baseline,https://agents.kujolang.ai/agents/analytics-analyst/,content/agents/analytics-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/analytics-analyst/,200,Analytics Analyst | Kujo WebOps | Kujo Agents,45,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,Analytics Analyst,h1:Analytics Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,592,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,c8ee4124959884e5c813ab11e812ffb88f95f12c4ccabd32dbf126110db27a5d,
baseline,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,Backend Developer | Kujo Chain of Command | Kujo Agents,55,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,317,en,,2026-07-05,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,94141a5b6a124950e00a0e733193c6a49c6bf6e28513f75fa3399d582ee11bc8,
baseline,https://agents.kujolang.ai/agents/backlink-mention-analyst/,content/agents/backlink-mention-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,Backlink & Mention Analyst,h1:Backlink & Mention Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,582,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,00bd4902a8e100fb3611620e60f36f6588171280a33e4f9c7a21575e3f44f37f,
baseline,https://agents.kujolang.ai/agents/cannibalization-analyst/,content/agents/cannibalization-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/cannibalization-analyst/,200,Cannibalization Analyst | Kujo WebOps | Kujo Agents,51,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,127,Cannibalization Analyst,h1:Cannibalization Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,588,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,a61f6767560f54938c23bfe79bed38e3c9d55d5b48f958f7727ecb768571c17c,
baseline,https://agents.kujolang.ai/agents/chain-of-command/,templates/page-agent-set.html,listing,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/chain-of-command/,200,Chain of Command Agents | Kujo Agents,37,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",98,Chain of Command,h1:Chain of Command,625,en,,,Robert DeVore,True,CollectionPage;Organization,124,37,5,0,not fully probed,30,0,0,1,false,True,false,false,bce4505b98c79aad62f558cbe0f862be1975ccd63e2d0228f6750c1c885d03ef,
baseline,https://agents.kujolang.ai/agents/chief-of-staff/,content/agents/chief-of-staff.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/chief-of-staff/,200,Chief Of Staff | Kujo Chain of Command | Kujo Agents,52,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",100,Chief Of Staff,h1:Chief Of Staff | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,374,en,,2026-08-08,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,a1e63fae04963ee65d09dcdf9c0d3356d113f60669abc2877aaa88efbc1720dd,
baseline,https://agents.kujolang.ai/agents/code-reviewer/,content/agents/code-reviewer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/code-reviewer/,200,Code Reviewer | Kujo Chain of Command | Kujo Agents,51,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",110,Code Reviewer,h1:Code Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,323,en,,2026-07-05,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,8f1e6bf7313474f5acaf3dc99c9e83e4a54e0d609810cc096e602b83d46a36fb,
baseline,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,content/agents/competitor-intelligence-analyst.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,200,Competitor Intelligence Analyst | Kujo WebOps | Kujo Agents,59,"Monitor selected peers for meaningful changes in topics, positioning, structure, search presence, content, and available backlink evidence.",139,Competitor Intelligence Analyst,h1:Competitor Intelligence Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,603,en,,2026-08-11,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,6995ed163d20f9ed68b8a618f76a775dd4b0c44c594fc4dcdb2ed8c5dbea70a1,
