phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/404.html,Skip to main content,body,200,https://agents.kujolang.ai/404.html,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/,Kujo Agents,div,200,https://agents.kujolang.ai/,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,li,200,https://agents.kujolang.ai/agents/chain-of-command/,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/agents/webops/,WebOps,li,200,https://agents.kujolang.ai/agents/webops/,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/agents/,View all agents,section,200,https://agents.kujolang.ai/agents/,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/agents/,Agents,nav,200,https://agents.kujolang.ai/agents/,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,nav,200,https://agents.kujolang.ai/agents/chain-of-command/,0,local generated artifact,,
after,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/agents/webops/,WebOps,nav,200,https://agents.kujolang.ai/agents/webops/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/backend-developer/,Skip to main content,body,200,https://agents.kujolang.ai/agents/backend-developer/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/,Kujo Agents,div,200,https://agents.kujolang.ai/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,li,200,https://agents.kujolang.ai/agents/chain-of-command/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/webops/,WebOps,li,200,https://agents.kujolang.ai/agents/webops/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/,Home,li,200,https://agents.kujolang.ai/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/,Agents,li,200,https://agents.kujolang.ai/agents/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/,Back to all agents,nav,200,https://agents.kujolang.ai/agents/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/,Agents,nav,200,https://agents.kujolang.ai/agents/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,nav,200,https://agents.kujolang.ai/agents/chain-of-command/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/agents/webops/,WebOps,nav,200,https://agents.kujolang.ai/agents/webops/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/agents/chain-of-command/,Skip to main content,body,200,https://agents.kujolang.ai/agents/chain-of-command/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/,Kujo Agents,div,200,https://agents.kujolang.ai/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command,li,200,https://agents.kujolang.ai/agents/chain-of-command/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/agents/webops/,WebOps,li,200,https://agents.kujolang.ai/agents/webops/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/,Home,li,200,https://agents.kujolang.ai/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/agents/,Agents,li,200,https://agents.kujolang.ai/agents/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/agents/general-commander/,"Strategic General Commander Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk. View Agent online",li,200,https://agents.kujolang.ai/agents/general-commander/,0,local generated artifact,,
after,https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/agents/chief-of-staff/,"Strategic Chief Of Staff Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable. View Agent online",li,200,https://agents.kujolang.ai/agents/chief-of-staff/,0,local generated artifact,,
