phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://agents.kujolang.ai/404.html,Explain that the requested route is unavailable.,Kujo Agents,Error recovery,page not found,agent directory,Kujo; AI agents; agent contracts; multi-agent workflows,,,Not applicable to search; excluded from indexing.,Keep noindex and route users to the agent directory.
after,https://agents.kujolang.ai/agents/accessibility-auditor/,Publish the operating contract for the Accessibility Auditor agent role.,Accessibility Auditor agent,Informational and implementation-oriented,Accessibility Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Accessibility Auditor agent?; What inputs and outputs does Accessibility Auditor require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,Publish the operating contract for the AI Search Visibility Analyst agent role.,AI Search Visibility Analyst agent,Informational and implementation-oriented,AI Search Visibility Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a AI Search Visibility Analyst agent?; What inputs and outputs does AI Search Visibility Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/analytics-analyst/,Publish the operating contract for the Analytics Analyst agent role.,Analytics Analyst agent,Informational and implementation-oriented,Analytics Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Analytics Analyst agent?; What inputs and outputs does Analytics Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backend-developer/,Publish the operating contract for the Backend Developer agent role.,Backend Developer agent,Informational and implementation-oriented,Backend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Backend Developer agent?; What inputs and outputs does Backend Developer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Publish the operating contract for the Backlink & Mention Analyst agent role.,Backlink & Mention Analyst agent,Informational and implementation-oriented,Backlink & Mention Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Backlink & Mention Analyst agent?; What inputs and outputs does Backlink & Mention Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,Publish the operating contract for the Cannibalization Analyst agent role.,Cannibalization Analyst agent,Informational and implementation-oriented,Cannibalization Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Cannibalization Analyst agent?; What inputs and outputs does Cannibalization Analyst require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/chain-of-command/,Help readers browse and compare source-grounded agent roles.,Chain of Command,Informational and navigational,Chain of Command agent roles,agent responsibilities; orchestration; planning; implementation; verification,Kujo; AI agents; agent contracts; multi-agent workflows,Which chain of command role fits my task?; How are the agents organized?,,The listing explains roles through excerpts but has no selection guide or real usage examples.,Add a concise selection guide when real usage evidence is available.
after,https://agents.kujolang.ai/agents/chief-of-staff/,Publish the operating contract for the Chief Of Staff agent role.,Chief Of Staff agent,Informational and implementation-oriented,Chief Of Staff AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Chief Of Staff agent?; What inputs and outputs does Chief Of Staff require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/code-reviewer/,Publish the operating contract for the Code Reviewer agent role.,Code Reviewer agent,Informational and implementation-oriented,Code Reviewer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Kujo; AI agents; agent contracts; multi-agent workflows,When should I use a Code Reviewer agent?; What inputs and outputs does Code Reviewer require?,,No worked usage example or version history is included beyond the source-linked contract and update date.,Add only source-grounded examples and change history when they exist.
