phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://agents.kujolang.ai/,templates/page-home.html,home,200,200,yes,"default index,follow",https://agents.kujolang.ai/,200,Kujo Agents,11,A source-grounded library of specialized Kujo agent sets.,57,Kujo Agents,"H1:Kujo Agents > H2:Build an agent you can inspect, run, and own. > H2:Decision evidence for agent reviews > H2:Chain of Command > H2:WebOps > H2:Publishing House > H2:VideoOps",2129,en,,,Robert DeVore,no,Organization|WebSite,183,114,9,0,0,88,0,0,0,no,yes,no,no,f61b0f79b21aafcc0eb3b30b9efe1847bf99dc7a21b39bac883c405f94591ba4,
after,https://agents.kujolang.ai/agent-development-platform/,content/pages/agent-development-platform.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agent-development-platform/,200,Kujo Agent Development Platform | Kujo Agents,45,"Build repository-owned AI agents with one focused Kujo install, reusable provider credentials, seven profiles, local evaluation, and explicit production controls.",162,Build Your Own Kujo Agent,"H1:Build Your Own Kujo Agent > H2:One project you can inspect and own > H2:Seven profiles, one ownership model > H2:Save credentials once, reuse them safely > H2:Local first, production controls when needed",423,en,,,Robert DeVore,no,Organization|WebPage,280,22,9,0,0,3,0,0,1,no,yes,no,no,600dbaa55c888aeecfadd04fa7e579d801ae06dd9f6f5543405f755648690b89,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,content/agents/accessibility-auditor.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/accessibility-auditor/,200,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,Accessibility Auditor,H1:Accessibility Auditor > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Degraded Operation > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,528,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,e7473549b31b1a800d31e31d8abbf2848c9a8becddad00bb3ecfd875c0537874,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,content/agents/ai-search-visibility-analyst.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,AI Search Visibility Analyst,H1:AI Search Visibility Analyst > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Degraded Operation > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,531,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,800466594410d1802af80b080b9a4f6ce955a94e2f5d7609a89548d86f5103fc,
after,https://agents.kujolang.ai/agents/analytics-analyst/,content/agents/analytics-analyst.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/analytics-analyst/,200,Analytics Analyst | Kujo WebOps | Kujo Agents,45,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,Analytics Analyst,H1:Analytics Analyst > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Degraded Operation > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,534,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,d637de1893aa324fb7c80d46355901dc9d3bb75841be4b55830f50189241cec7,
after,https://agents.kujolang.ai/agents/art-director/,content/agents/art-director.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/art-director/,200,Art Director | Kujo Publishing House | Kujo Agents,50,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",137,Art Director,H1:Art Director > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Quality Standard > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,455,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,42ab1b7e8b7c632c973e6fa00caca283b928a71268a0bfa45fb2687bb3b042a9,
after,https://agents.kujolang.ai/agents/audience-development-director/,content/agents/audience-development-director.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/audience-development-director/,200,Audience Development Director | Kujo Publishing House | Kujo Agents,67,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",128,Audience Development Director,H1:Audience Development Director > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Quality Standard > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,445,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,cfa523a8c450b5d46d301aa276b3622a9a590e343df047a3b9de84b468b12543,
after,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,Backend Developer | Kujo Chain of Command | Kujo Agents,55,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,Backend Developer,H1:Backend Developer > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,269,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,607851df7d3a72acb5fb63bca071886498ef8e8d10545d1832bd2f7f5e0211b7,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,content/agents/backlink-mention-analyst.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,Backlink & Mention Analyst,H1:Backlink & Mention Analyst > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Degraded Operation > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,524,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,0b9d732b3e71707ba891457730112230638d05b4a55181d5dc90cb63c9a1143c,
after,https://agents.kujolang.ai/agents/brand-strategy-director/,content/agents/brand-strategy-director.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/brand-strategy-director/,200,Brand Strategy Director | Kujo Publishing House | Kujo Agents,61,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",132,Brand Strategy Director,H1:Brand Strategy Director > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Quality Standard > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,450,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,ed5105b4917bd23744337141b21b94a78ee9d95cba816cc5d557cd065d608665,
after,https://agents.kujolang.ai/agents/campaign-copywriter/,content/agents/campaign-copywriter.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/campaign-copywriter/,200,Campaign Copywriter | Kujo Publishing House | Kujo Agents,57,"Write headlines, campaign lines, landing copy, launch messaging, email copy, calls to action, and concise persuasive variants.",126,Campaign Copywriter,H1:Campaign Copywriter > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Quality Standard > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,463,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,18613bf8ba94048fb9d7fa695595125fe4b1df16ab264406350f164909c514f2,
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,content/agents/cannibalization-analyst.md,page,200,200,yes,"default index,follow",https://agents.kujolang.ai/agents/cannibalization-analyst/,200,Cannibalization Analyst | Kujo WebOps | Kujo Agents,51,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,127,Cannibalization Analyst,H1:Cannibalization Analyst > H2:Agent Contract > H2:Use This Agent When > H2:Do Not Use This Agent When > H2:Inputs Expected > H2:Outputs Required > H2:Allowed Tools And Workflows > H2:Workflow > H2:Evidence Requirements > H2:Degraded Operation > H2:Handoff Rules > H2:Escalation Rules > H2:Stop Conditions > H2:Anti-Scope,534,en,,,Kujo,yes,CollectionPage|Organization|SoftwareSourceCode|WebPage,3,24,7,0,0,3,0,0,1,no,yes,no,no,cb44a95db5a13e2418ba12e8528e8be5b3739450101fbba84816107faa381d7e,
