phase,url,page_type,purpose,audience,intent,topic_entity,word_count,original_evidence,currentness,citation_worthiness,competing_url,gap,action
after,https://agents.kujolang.ai/,home,Introduce Kujo and route visitors,Developers and AI-software teams,brand/category,Kujo programming language,2129,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agent-development-platform/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Build Your Own Kujo Agent,423,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/accessibility-auditor/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Accessibility Auditor,528,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,AI Search Visibility Analyst,531,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/analytics-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Analytics Analyst,534,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/art-director/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Art Director,455,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/audience-development-director/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Audience Development Director,445,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/backend-developer/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Backend Developer,269,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Backlink & Mention Analyst,524,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/brand-strategy-director/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Brand Strategy Director,450,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/campaign-copywriter/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Campaign Copywriter,463,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Cannibalization Analyst,534,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/case-study-editor/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Case Study Editor,468,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/chain-of-command/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Chain of Command,594,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/chief-of-staff/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Chief Of Staff,317,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/code-reviewer/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Code Reviewer,274,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/commissioning-editor/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Commissioning Editor,449,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Competitor Intelligence Analyst,541,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Content Accuracy Reviewer,536,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/content-decay-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Content Decay Analyst,544,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/content-gap-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Content Gap Analyst,541,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Content Portfolio Manager,529,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,page,Explain a Kujo site topic,Developers and AI-software teams,informational,Content Pruning Analyst,537,First-party project information,No rendered modified date,Editorial hypothesis; actual citation outcomes require platform data,,Measurement/editorial review required,Preserve source-backed boundaries; review measured user queries before broader content expansion
