phase,url,title,title_length,duplicate_title,meta_description,description_length,duplicate_description,h1,h1_count,canonical,lang,og_title,og_description,og_url,og_image,twitter_card,author,issues,production_status
after,https://agents.kujolang.ai/,Kujo Agents,11,no,A source-grounded library of specialized Kujo agent sets.,57,no,Kujo Agents,1,https://agents.kujolang.ai/,en,Kujo Agents,A source-grounded library of specialized Kujo agent sets.,https://agents.kujolang.ai/,https://agents.kujolang.ai/assets/images/social/home.jpg,summary_large_image,Robert DeVore,,200
after,https://agents.kujolang.ai/agent-development-platform/,Kujo Agent Development Platform | Kujo Agents,45,no,"Build repository-owned AI agents with one focused Kujo install, reusable provider credentials, seven profiles, local evaluation, and explicit production controls.",162,no,Build Your Own Kujo Agent,1,https://agents.kujolang.ai/agent-development-platform/,en,Kujo Agent Development Platform,"Build repository-owned AI agents with one focused Kujo install, reusable provider credentials, seven profiles, local evaluation, and explicit production controls.",https://agents.kujolang.ai/agent-development-platform/,https://agents.kujolang.ai/assets/images/social/agent-development-platform.jpg,summary_large_image,Robert DeVore,,200
after,https://agents.kujolang.ai/agents/accessibility-auditor/,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,no,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,no,Accessibility Auditor,1,https://agents.kujolang.ai/agents/accessibility-auditor/,en,Accessibility Auditor | Kujo WebOps,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,https://agents.kujolang.ai/agents/accessibility-auditor/,https://agents.kujolang.ai/assets/images/social/accessibility-auditor.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,no,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,no,AI Search Visibility Analyst,1,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,en,AI Search Visibility Analyst | Kujo WebOps,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,https://agents.kujolang.ai/assets/images/social/ai-search-visibility-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/analytics-analyst/,Analytics Analyst | Kujo WebOps | Kujo Agents,45,no,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,no,Analytics Analyst,1,https://agents.kujolang.ai/agents/analytics-analyst/,en,Analytics Analyst | Kujo WebOps,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",https://agents.kujolang.ai/agents/analytics-analyst/,https://agents.kujolang.ai/assets/images/social/analytics-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/art-director/,Art Director | Kujo Publishing House | Kujo Agents,50,no,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",137,no,Art Director,1,https://agents.kujolang.ai/agents/art-director/,en,Art Director | Kujo Publishing House,"Define visual concepts, systems, composition, typography direction, illustration language, diagrams, proof cards, and campaign coherence.",https://agents.kujolang.ai/agents/art-director/,https://agents.kujolang.ai/assets/images/social/art-director.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/audience-development-director/,Audience Development Director | Kujo Publishing House | Kujo Agents,67,no,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",128,no,Audience Development Director,1,https://agents.kujolang.ai/agents/audience-development-director/,en,Audience Development Director | Kujo Publishing House,"Design distribution, subscriber, community, and audience-learning strategy around approved editorial work and measured behavior.",https://agents.kujolang.ai/agents/audience-development-director/,https://agents.kujolang.ai/assets/images/social/audience-development-director.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Chain of Command | Kujo Agents,55,no,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,no,Backend Developer,1,https://agents.kujolang.ai/agents/backend-developer/,en,Backend Developer | Kujo Chain of Command,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/assets/images/social/backend-developer.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,no,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,no,Backlink & Mention Analyst,1,https://agents.kujolang.ai/agents/backlink-mention-analyst/,en,Backlink & Mention Analyst | Kujo WebOps,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",https://agents.kujolang.ai/agents/backlink-mention-analyst/,https://agents.kujolang.ai/assets/images/social/backlink-mention-analyst.jpg,summary_large_image,Kujo,,200
after,https://agents.kujolang.ai/agents/brand-strategy-director/,Brand Strategy Director | Kujo Publishing House | Kujo Agents,61,no,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",132,no,Brand Strategy Director,1,https://agents.kujolang.ai/agents/brand-strategy-director/,en,Brand Strategy Director | Kujo Publishing House,"Define positioning, category framing, audience promise, differentiation, voice principles, distinctive assets, and brand boundaries.",https://agents.kujolang.ai/agents/brand-strategy-director/,https://agents.kujolang.ai/assets/images/social/brand-strategy-director.jpg,summary_large_image,Kujo,,200
