phase,url,local_status,production_status,robots_directives,canonical,canonical_target_status,sitemap_included,indexable,issues
after,https://agents.kujolang.ai/,200,200,"default index,follow",https://agents.kujolang.ai/,200,yes,yes,
after,https://agents.kujolang.ai/agent-development-platform/,200,200,"default index,follow",https://agents.kujolang.ai/agent-development-platform/,200,yes,yes,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,200,200,"default index,follow",https://agents.kujolang.ai/agents/accessibility-auditor/,200,yes,yes,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/analytics-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/analytics-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/art-director/,200,200,"default index,follow",https://agents.kujolang.ai/agents/art-director/,200,yes,yes,
after,https://agents.kujolang.ai/agents/audience-development-director/,200,200,"default index,follow",https://agents.kujolang.ai/agents/audience-development-director/,200,yes,yes,
after,https://agents.kujolang.ai/agents/backend-developer/,200,200,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,yes,yes,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/backlink-mention-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/brand-strategy-director/,200,200,"default index,follow",https://agents.kujolang.ai/agents/brand-strategy-director/,200,yes,yes,
after,https://agents.kujolang.ai/agents/campaign-copywriter/,200,200,"default index,follow",https://agents.kujolang.ai/agents/campaign-copywriter/,200,yes,yes,
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/cannibalization-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/case-study-editor/,200,200,"default index,follow",https://agents.kujolang.ai/agents/case-study-editor/,200,yes,yes,
after,https://agents.kujolang.ai/agents/chain-of-command/,200,200,"default index,follow",https://agents.kujolang.ai/agents/chain-of-command/,200,yes,yes,
after,https://agents.kujolang.ai/agents/chief-of-staff/,200,200,"default index,follow",https://agents.kujolang.ai/agents/chief-of-staff/,200,yes,yes,
after,https://agents.kujolang.ai/agents/code-reviewer/,200,200,"default index,follow",https://agents.kujolang.ai/agents/code-reviewer/,200,yes,yes,
after,https://agents.kujolang.ai/agents/commissioning-editor/,200,200,"default index,follow",https://agents.kujolang.ai/agents/commissioning-editor/,200,yes,yes,
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,200,200,"default index,follow",https://agents.kujolang.ai/agents/content-accuracy-reviewer/,200,yes,yes,
after,https://agents.kujolang.ai/agents/content-decay-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/content-decay-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/content-gap-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/content-gap-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,200,200,"default index,follow",https://agents.kujolang.ai/agents/content-portfolio-manager/,200,yes,yes,
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,200,200,"default index,follow",https://agents.kujolang.ai/agents/content-pruning-analyst/,200,yes,yes,
after,https://agents.kujolang.ai/agents/context-packager/,200,200,"default index,follow",https://agents.kujolang.ai/agents/context-packager/,200,yes,yes,
after,https://agents.kujolang.ai/agents/copy-chief/,200,200,"default index,follow",https://agents.kujolang.ai/agents/copy-chief/,200,yes,yes,
after,https://agents.kujolang.ai/agents/core-developer/,200,200,"default index,follow",https://agents.kujolang.ai/agents/core-developer/,200,yes,yes,
after,https://agents.kujolang.ai/agents/creative-director/,200,200,"default index,follow",https://agents.kujolang.ai/agents/creative-director/,200,yes,yes,
after,https://agents.kujolang.ai/agents/dependency-scanner/,200,200,"default index,follow",https://agents.kujolang.ai/agents/dependency-scanner/,200,yes,yes,
after,https://agents.kujolang.ai/agents/developmental-editor/,200,200,"default index,follow",https://agents.kujolang.ai/agents/developmental-editor/,200,yes,yes,
after,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,200,200,"default index,follow",https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,200,yes,yes,
after,https://agents.kujolang.ai/agents/distribution-operator/,200,200,"default index,follow",https://agents.kujolang.ai/agents/distribution-operator/,200,yes,yes,
after,https://agents.kujolang.ai/agents/documentation-writer/,200,200,"default index,follow",https://agents.kujolang.ai/agents/documentation-writer/,200,yes,yes,
