phase,url,title,title_length,meta_description,description_length,h1_count,canonical,og_title,og_description,og_url,og_image,twitter_card,twitter_title,twitter_description,twitter_image,issues
after,https://agents.kujolang.ai/404.html,Page Not Found | Kujo Agents,28,Page not found,14,1,,Page Not Found,Page not found,https://agents.kujolang.ai/404.html,https://agents.kujolang.ai/assets/images/social/404.jpg,summary_large_image,Page Not Found,Page not found,https://agents.kujolang.ai/assets/images/social/404.jpg,
after,https://agents.kujolang.ai/agents/accessibility-auditor/,Accessibility Auditor | Kujo WebOps | Kujo Agents,49,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,125,1,https://agents.kujolang.ai/agents/accessibility-auditor/,Accessibility Auditor | Kujo WebOps,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,https://agents.kujolang.ai/agents/accessibility-auditor/,https://agents.kujolang.ai/assets/images/social/accessibility-auditor.jpg,summary_large_image,Accessibility Auditor | Kujo WebOps,Run repeatable automated accessibility checks and produce evidence-backed repair priorities with explicit manual-review gaps.,https://agents.kujolang.ai/assets/images/social/accessibility-auditor.jpg,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,AI Search Visibility Analyst | Kujo WebOps | Kujo Agents,56,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,101,1,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,AI Search Visibility Analyst | Kujo WebOps,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,https://agents.kujolang.ai/assets/images/social/ai-search-visibility-analyst.jpg,summary_large_image,AI Search Visibility Analyst | Kujo WebOps,Run repeatable fixed-query visibility benchmarks across explicitly configured AI and search surfaces.,https://agents.kujolang.ai/assets/images/social/ai-search-visibility-analyst.jpg,
after,https://agents.kujolang.ai/agents/analytics-analyst/,Analytics Analyst | Kujo WebOps | Kujo Agents,45,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",140,1,https://agents.kujolang.ai/agents/analytics-analyst/,Analytics Analyst | Kujo WebOps,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",https://agents.kujolang.ai/agents/analytics-analyst/,https://agents.kujolang.ai/assets/images/social/analytics-analyst.jpg,summary_large_image,Analytics Analyst | Kujo WebOps,"Analyze measured website behavior from a real analytics capability while preserving dimensions, metrics, identity settings, and uncertainty.",https://agents.kujolang.ai/assets/images/social/analytics-analyst.jpg,
after,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Chain of Command | Kujo Agents,55,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,1,https://agents.kujolang.ai/agents/backend-developer/,Backend Developer | Kujo Chain of Command,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/agents/backend-developer/,https://agents.kujolang.ai/assets/images/social/backend-developer.jpg,summary_large_image,Backend Developer | Kujo Chain of Command,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",https://agents.kujolang.ai/assets/images/social/backend-developer.jpg,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Backlink & Mention Analyst | Kujo WebOps | Kujo Agents,54,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",100,1,https://agents.kujolang.ai/agents/backlink-mention-analyst/,Backlink & Mention Analyst | Kujo WebOps,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",https://agents.kujolang.ai/agents/backlink-mention-analyst/,https://agents.kujolang.ai/assets/images/social/backlink-mention-analyst.jpg,summary_large_image,Backlink & Mention Analyst | Kujo WebOps,"Analyze new and lost backlinks, relevant or unlinked mentions, and evidence-backed suspicious links.",https://agents.kujolang.ai/assets/images/social/backlink-mention-analyst.jpg,
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,Cannibalization Analyst | Kujo WebOps | Kujo Agents,51,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,127,1,https://agents.kujolang.ai/agents/cannibalization-analyst/,Cannibalization Analyst | Kujo WebOps,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,https://agents.kujolang.ai/agents/cannibalization-analyst/,https://agents.kujolang.ai/assets/images/social/cannibalization-analyst.jpg,summary_large_image,Cannibalization Analyst | Kujo WebOps,Identify pages substantially competing for the same intent while separating normal topical overlap from likely cannibalization.,https://agents.kujolang.ai/assets/images/social/cannibalization-analyst.jpg,
after,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command Agents | Kujo Agents,37,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",98,1,https://agents.kujolang.ai/agents/chain-of-command/,Chain of Command Agents,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",https://agents.kujolang.ai/agents/chain-of-command/,https://agents.kujolang.ai/assets/images/social/agents-chain-of-command.jpg,summary_large_image,Chain of Command Agents,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",https://agents.kujolang.ai/assets/images/social/agents-chain-of-command.jpg,
after,https://agents.kujolang.ai/agents/chief-of-staff/,Chief Of Staff | Kujo Chain of Command | Kujo Agents,52,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",100,1,https://agents.kujolang.ai/agents/chief-of-staff/,Chief Of Staff | Kujo Chain of Command,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",https://agents.kujolang.ai/agents/chief-of-staff/,https://agents.kujolang.ai/assets/images/social/chief-of-staff.jpg,summary_large_image,Chief Of Staff | Kujo Chain of Command,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",https://agents.kujolang.ai/assets/images/social/chief-of-staff.jpg,
after,https://agents.kujolang.ai/agents/code-reviewer/,Code Reviewer | Kujo Chain of Command | Kujo Agents,51,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",110,1,https://agents.kujolang.ai/agents/code-reviewer/,Code Reviewer | Kujo Chain of Command,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",https://agents.kujolang.ai/agents/code-reviewer/,https://agents.kujolang.ai/assets/images/social/code-reviewer.jpg,summary_large_image,Code Reviewer | Kujo Chain of Command,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",https://agents.kujolang.ai/assets/images/social/code-reviewer.jpg,
