phase,url,block,schema_types,parse_state,visible_alignment,issues
after,https://agents.kujolang.ai/agents/backend-developer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/chain-of-command/,1,CollectionPage;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/chief-of-staff/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/code-reviewer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/context-packager/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/core-developer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/dependency-scanner/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/documentation-writer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/frontend-developer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/general-commander/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/,1,CollectionPage;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/integration-engineer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/lint-runner/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/planner/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/product-strategist/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/qa-lead/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/receipt-collector/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/release-verifier/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/research-analyst/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/risk-officer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/routine-worker/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/security-reviewer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/sitrep-agent/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/spec-writer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/systems-architect/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/test-runner/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/tooling-developer/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/triage-agent/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/visual-qa-agent/,1,SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/webops/,1,CollectionPage;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/,1,WebSite;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
