id,phase,category,severity,affected_urls,affected_count,evidence,expected_benefit,confidence,difficulty,recommended_action,owner,status
SEO-20260811-001,baseline,schema,P2,agent detail pages,56,"SoftwareSourceCode name/headline used SEO title suffix instead of visible H1",Closer visible-content alignment and cleaner entity naming,High,Low,Use visible agent title for schema name while preserving SERP title,Engineering,completed
SEO-20260811-002,baseline,indexability,P2,"/; /agents/; /agents/chain-of-command/; /agents/webops/",4,"Sitemap aggregate entries omitted lastmod after roster expansion",More accurate freshness signals for changed collection pages,High,Low,Derive aggregate lastmod from newest managed agent,Engineering,completed
SEO-20260811-003,baseline,AI discovery,P2,"/agents/chain-of-command/; /agents/webops/",2,"Experimental llms.txt listed profiles but omitted set directories",More complete experimental machine-readable navigation,High,Low,Add both set collection URLs and retain experimental label,Engineering,completed
SEO-20260811-004,baseline,performance,P2,agent directory templates,4,"First portrait was loading=lazy and Lighthouse identified the directory LCP request as lazy",Earlier discovery for directory LCP candidates,High,Low,Eager-load and prioritize each set's first portrait,Engineering,completed
SEO-20260811-005,after,performance,P2,/,1,"271 KiB hero; after mobile Lighthouse performance 81 and LCP 3.74s",Potentially lower mobile LCP and transfer cost,Medium,Medium,Create a visually approved responsive mobile crop and compare equivalent tests,Design + Engineering,open
SEO-20260811-006,after,production,P2,www host,2,"HTTP and HTTPS www variants fail DNS resolution",Consistent host handling if users or links use www,High,Medium,Decide host policy and configure a one-hop permanent redirect if required,Infrastructure,open
SEO-20260811-007,after,measurement,P2,sitewide,60,"Search consoles analytics logs field CWV backlinks and controlled AI sessions unavailable",Enables real indexing traffic performance and citation baselines,High,Medium,Provide read-only platform access and preserve exports,Owner,blocked
SEO-20260811-008,after,search visibility,P2,sitewide,4 queries,"Dated web-search connector observations did not surface agents.kujolang.ai",Establish whether new pages are indexed and visible on named engines,Low,Low,Repeat in Google and Bing with controlled locale/device and inspect search consoles,SEO,monitoring
SEO-20260811-009,after,authority/content,P3,listing pages,3,"Listings provide source-grounded excerpts but no selection guide or verified usage examples",Improve task fit and citation-worthy practical context,Medium,Medium,Add only evidence-backed examples and selection guidance,Editorial,open
SEO-20260811-010,after,production hardening,P3,sitewide,60,"Live headers omit CSP nosniff referrer and frame policy despite repository _headers",Improve delivery-layer security posture,High,Medium,Configure supported Cloudflare response-header rules,Infrastructure,open
