phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://agents.kujolang.ai/404.html,templates/404.html,404,404,,false,"noindex,follow",,,Page Not Found | Kujo Agents,28,Page not found,14,Agent not found,h1:Agent not found,44,en,,,Robert DeVore,False,,0,8,5,0,not fully probed,2,0,0,1,false,False,false,false,d95eb7ec99ed38890f8052608e8c40b823f7b8fef8edd6a5391ebeb2a20203ce,
after,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/backend-developer/,200,Backend Developer | Kujo Agents,31,"Implement APIs, persistence, jobs, auth boundaries, service logic, and server-side integrations within a bounded task.",118,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,312,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,cf0d435426af4f50b16ed25f3758e16cb1759bea269e4a2788ef7ddffa10597e,
after,https://agents.kujolang.ai/agents/chain-of-command/,templates/page-agent-set.html,listing,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/chain-of-command/,200,Chain of Command Agents | Kujo Agents,37,"A coordinated roster for strategy, planning, execution, verification, knowledge, and routine work.",98,Chain of Command,h1:Chain of Command,625,en,,,Robert DeVore,True,CollectionPage;Organization,68,37,5,0,not fully probed,30,0,0,1,false,True,false,false,bce4505b98c79aad62f558cbe0f862be1975ccd63e2d0228f6750c1c885d03ef,
after,https://agents.kujolang.ai/agents/chief-of-staff/,content/agents/chief-of-staff.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/chief-of-staff/,200,Chief Of Staff | Kujo Agents,28,"Turn vague goals into structured objectives, assign lanes, manage handoffs, and keep work auditable.",100,Chief Of Staff,h1:Chief Of Staff | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,369,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,415bd99eeb371474e5ce466068cc287bb8cac008783ecf59aaade57f58149187,
after,https://agents.kujolang.ai/agents/code-reviewer/,content/agents/code-reviewer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/code-reviewer/,200,Code Reviewer | Kujo Agents,27,"Review diffs for bugs, regressions, contract drift, missing tests, unsafe scope, and documentation mismatches.",110,Code Reviewer,h1:Code Reviewer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,318,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,3a8f0672cd01d68abf0d85c12d0cfc9b4241cce2263f58ae3b7b0be4fe4a8026,
after,https://agents.kujolang.ai/agents/context-packager/,content/agents/context-packager.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/context-packager/,200,Context Packager | Kujo Agents,30,"Prepare compact context bundles, execution packs, workflow summaries, and handoff packets for downstream agents.",112,Context Packager,h1:Context Packager | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,376,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,5e04069760166d4585e0aa2ea44634db935f74a92f31219774bcc5483b867ee3,
after,https://agents.kujolang.ai/agents/core-developer/,content/agents/core-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/core-developer/,200,Core Developer | Kujo Agents,28,Implement bounded source changes and focused tests inside an assigned scope.,76,Core Developer,h1:Core Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,341,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,55237b1421abba40fdc10104569dd3b5f2ee0fef57b7d20483209fd1a39564fb,
after,https://agents.kujolang.ai/agents/dependency-scanner/,content/agents/dependency-scanner.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/dependency-scanner/,200,Dependency Scanner | Kujo Agents,32,"Run explicit dependency, package, manifest, lockfile, and package-status checks.",80,Dependency Scanner,h1:Dependency Scanner | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,268,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,6f75630142943709d760b61dd755f60e852eafa0cbdb907ee8d5d379be226b55,
after,https://agents.kujolang.ai/agents/documentation-writer/,content/agents/documentation-writer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/documentation-writer/,200,Documentation Writer | Kujo Agents,34,"Update READMEs, onboarding docs, changelogs, examples, runbooks, and user-facing technical documentation from source-grounded facts.",132,Documentation Writer,h1:Documentation Writer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,372,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,cfec57de5824cc7c4d20da267bb7f2754ca3f058c042ce02e2efc5c1d5d1b634,
after,https://agents.kujolang.ai/agents/frontend-developer/,content/agents/frontend-developer.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/frontend-developer/,200,Frontend Developer | Kujo Agents,32,"Implement user interfaces, interaction flows, responsive behavior, and browser-verifiable frontend changes.",107,Frontend Developer,h1:Frontend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,374,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,c9a154fadb7330c23afe2c0108baa64041a228e3fc92c61b095a42be4aae2c87,
after,https://agents.kujolang.ai/agents/general-commander/,content/agents/general-commander.md,agent,200,200,true,"default index,follow",https://agents.kujolang.ai/agents/general-commander/,200,General Commander | Kujo Agents,31,"Interpret broad missions, choose agent lanes, resolve cross-agent conflicts, synthesize final outcomes, and escalate unresolved risk.",133,General Commander,h1:General Commander | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,458,en,,2026-08-10,Kujo,True,SoftwareSourceCode;Organization,4,10,7,0,not fully probed,3,0,0,1,false,True,false,false,743137a0a8519ab7abcbe56c404b66c72c4325aed782658c8fe19c4ac93acff5,
