phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action
after,https://agents.kujolang.ai/404.html,templates/404.html,404,Explain that the requested route is unavailable.,Error recovery,Visitors who reached a missing route,Kujo Agents,page not found,agent directory,Agent not found,h1:Agent not found,62,,,Repository-generated inventory and direct links to source contracts.,Not applicable to search; excluded from indexing.,,Keep noindex and route users to the agent directory.
after,https://agents.kujolang.ai/agents/accessibility-auditor/,content/agents/accessibility-auditor.md,agent,Publish the operating contract for the Accessibility Auditor agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Accessibility Auditor agent,Accessibility Auditor AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Accessibility Auditor,h1:Accessibility Auditor | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,599,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,content/agents/ai-search-visibility-analyst.md,agent,Publish the operating contract for the AI Search Visibility Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,AI Search Visibility Analyst agent,AI Search Visibility Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,AI Search Visibility Analyst,h1:AI Search Visibility Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,602,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/analytics-analyst/,content/agents/analytics-analyst.md,agent,Publish the operating contract for the Analytics Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Analytics Analyst agent,Analytics Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Analytics Analyst,h1:Analytics Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,610,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/art-director/,content/agents/art-director.md,agent,Publish the operating contract for the Art Director agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Art Director agent,Art Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Art Director,h1:Art Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,533,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/audience-development-director/,content/agents/audience-development-director.md,agent,Publish the operating contract for the Audience Development Director agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Audience Development Director agent,Audience Development Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Audience Development Director,h1:Audience Development Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,523,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backend-developer/,content/agents/backend-developer.md,agent,Publish the operating contract for the Backend Developer agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Backend Developer agent,Backend Developer AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Backend Developer,h1:Backend Developer | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,335,,2026-07-05,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,content/agents/backlink-mention-analyst.md,agent,Publish the operating contract for the Backlink & Mention Analyst agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Backlink & Mention Analyst agent,Backlink & Mention Analyst AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Backlink & Mention Analyst,h1:Backlink & Mention Analyst | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Degraded Operation | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,600,,2026-08-11,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/brand-strategy-director/,content/agents/brand-strategy-director.md,agent,Publish the operating contract for the Brand Strategy Director agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Brand Strategy Director agent,Brand Strategy Director AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Brand Strategy Director,h1:Brand Strategy Director | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,529,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
after,https://agents.kujolang.ai/agents/campaign-copywriter/,content/agents/campaign-copywriter.md,agent,Publish the operating contract for the Campaign Copywriter agent role.,Informational and implementation-oriented,Developers and operators delegating bounded work to AI agents,Campaign Copywriter agent,Campaign Copywriter AI agent contract,purpose; use cases; inputs; outputs; workflow; evidence; handoffs; escalation; stop conditions,Campaign Copywriter,h1:Campaign Copywriter | h2:Agent Contract | h2:Use This Agent When | h2:Do Not Use This Agent When | h2:Inputs Expected | h2:Outputs Required | h2:Allowed Tools And Workflows | h2:Workflow | h2:Evidence Requirements | h2:Quality Standard | h2:Handoff Rules | h2:Escalation Rules | h2:Stop Conditions | h2:Anti-Scope,542,,2026-08-14,Source-linked operating contract with explicit workflow and evidence requirements.,No worked usage example or version history is included beyond the source-linked contract and update date.,,Add only source-grounded examples and change history when they exist.
